"YEAR","INDICATOR_NAME","DATA_VALUE"
2004,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.0703218560622363
2005,"Spring_Wind_NorthSouth_Kodiak_Satellite",-1.14396379311374
2006,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.465293720567917
2007,"Spring_Wind_NorthSouth_Kodiak_Satellite",NA
2008,"Spring_Wind_NorthSouth_Kodiak_Satellite",NA
2009,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.393262929918794
2010,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.606592492912403
2011,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.237552414025481
2012,"Spring_Wind_NorthSouth_Kodiak_Satellite",-1.96753985682096
2013,"Spring_Wind_NorthSouth_Kodiak_Satellite",-2.38656202285613
2014,"Spring_Wind_NorthSouth_Kodiak_Satellite",0.153681384031182
2015,"Spring_Wind_NorthSouth_Kodiak_Satellite",0.996448149982634
2016,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.115901259890531
2017,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.86065169203535
2018,"Spring_Wind_NorthSouth_Kodiak_Satellite",NA
2019,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.773443890474606
2020,"Spring_Wind_NorthSouth_Kodiak_Satellite",-1.40010111227486
2021,"Spring_Wind_NorthSouth_Kodiak_Satellite",-1.60248166249691
2022,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.749373566879212
2023,"Spring_Wind_NorthSouth_Kodiak_Satellite",-1.28936177573147
2024,"Spring_Wind_NorthSouth_Kodiak_Satellite",-0.0309522361386058
