Year,Small Copepods ,Large Copepods,Euphausiids,Status
1998.35,0.0640,0.3914,0.0049,complete
1999.35,0.0589,0.1936,0.0133,complete
2000.35,0.1569,0.1585,0.0117,complete
2001.35,0.0480,0.1989,0.0195,complete
2002.35,0.1007,0.4195,0.0489,complete
2003.35,0.0514,0.2732,0.0119,complete
2004.35,0.1121,0.2973,0.0083,complete
2005.35,0.0924,0.3396,0.0159,complete
2006.35,0.1267,0.4918,0.0176,complete
2007.35,0.0523,0.1883,0.0117,complete
2008.35,0.0441,0.0815,0.0164,complete
2009.35,0.0442,0.1275,0.0579,complete
2010.35,0.0769,0.1689,0.0143,complete
2011.35,0.0214,0.1003,0.0032,complete
2012.35,0.0513,0.1470,0.0547,complete
2013.35,0.0829,0.1974,0.0152,complete
2014.35,0.0651,0.2191,0.0430,complete
2015.35,0.0439,0.3423,0.0106,complete
2016.35,0.1128,0.3825,0.0087,complete
2017.35,0.0664,0.3461,0.0054,complete
2018.35,0.0258,0.3639,0.0327,complete
2019.35,0.0193,0.1389,0.0118,complete
2020.35,0.0275,0.2520,0.0228,provisional
2021.35,0.0133,0.1780,0.0319,provisional
2022.35,0.0380,0.2090,0.0280,provisional
1998.7,0.1243,0.0135,0.0248,complete
1999.7,0.0824,0.0223,0.0239,complete
2000.7,0.0798,0.0172,0.0187,complete
2001.7,0.1201,0.0131,0.0319,complete
2002.7,0.0181,0.0382,0.0794,complete
2003.7,0.0679,0.0095,0.0345,complete
2004.7,0.0245,0.0183,0.0575,complete
2005.7,0.0541,0.0206,0.0220,complete
2006.7,0.0634,0.0271,0.0143,complete
2007.7,0.0516,0.0281,0.0382,complete
2008.7,0.0387,0.0210,0.0328,complete
2009.7,0.0500,0.0243,0.0602,complete
2010.7,0.0316,0.0252,0.0780,complete
2011.7,0.0687,0.0231,0.0248,complete
2012.7,0.0724,0.0271,0.0340,complete
2013.7,0.0372,0.0306,0.0358,complete
2014.7,0.0755,0.0288,0.0232,complete
2015.7,0.0450,0.0153,0.0166,complete
2016.7,0.0556,0.0128,0.0170,complete
2017.7,0.0763,0.0288,0.0383,complete
2018.7,0.0608,0.0198,0.0198,complete
2019.7,0.0496,0.0052,0.0052,complete
2020.7,0.0295,0.0189,0.0189,provisional
2021.7,0.0120,0.0387,0.0387,provisional
2022.7,,0.0199,0.0199,provisional
